audit_idx,audit_dir,date,scope,commit,findings,critical,significant,moderate,advisory,note,ledger,fixed,mitigated,accepted,disputed,deferred,open
14,"2026-08-15-0328-m14-release-closure","2026-08-15","Full M14 release-closure audit at 78e178b4a1421d9c503afd525ea00f2390083236","78e178b4a1421d9c503afd525ea00f2390083236",3,0,0,1,2,0,true,3,0,0,0,0,0
15,"2026-08-15-0547-m14-release-closure-final","2026-08-15","Full M14 release-closure audit at 2ff093845d5020d161fe01c3d074b5b187e4a531","2ff093845d5020d161fe01c3d074b5b187e4a531",3,0,0,2,1,0,true,3,0,0,0,0,0
16,"2026-08-15-0644-m14-release-closure-clean","2026-08-15","Full M14 release-closure audit at d98afe149dba3129fd83645082641034fe06d4d7","d98afe149dba3129fd83645082641034fe06d4d7",1,0,0,1,0,0,true,1,0,0,0,0,0
17,"2026-08-15-0719-m14-release-closure-clean","2026-08-15","Full M14 release-closure audit at fc3c1b2a5289ab809a47b0d376a42a36337975c6","fc3c1b2a5289ab809a47b0d376a42a36337975c6",2,0,0,2,0,0,true,2,0,0,0,0,0
18,"2026-08-15-1538-m14-release-closure-clean","2026-08-15","Fresh full M14 release-closure audit at 8084c7c13b4bbf3ec51af01990ea83dc7a947df9","8084c7c13b4bbf3ec51af01990ea83dc7a947df9",8,0,1,7,0,0,false,,,,,,
19,"2026-08-16-06-pre-release-full","2026-08-16","Full workspace pre-release audit — yamalgam YAML parser, 15 workspace crates, 99k LOC Rust","2f5ddd16c3df49e4ce9cc31b67cff186cef8d533",29,0,7,11,9,2,true,29,0,0,0,0,0
20,"2026-08-16-21-m14-pre-release","2026-08-16","Full workspace pre-release audit — branch m14-incremental-editing","e4abbc30f91e7e695f1beeeaa4a73f01567c23d5",43,2,13,17,8,3,true,43,0,0,0,0,0
21,"2026-08-17-07-pre-release-m14","2026-08-17","Pre-release audit — full workspace on branch m14-incremental-editing, 86 commits after prior audit remediation cycle","8cfb3d63ec551ee13a72cbe4d3c6a14c01d90531",10,0,3,4,2,1,true,8,0,0,1,1,0
22,"2026-08-17-11-pre-release-m14","2026-08-17","Pre-release audit of m14-incremental-editing branch — full workspace, crustoleum surfaces","bda705104db86039f4a5f10a96288b458dc490f8",11,0,4,2,3,2,true,10,0,0,1,0,0
23,"2026-08-17-14-full-repo","2026-08-17","Full repository static pre-release audit — source, tests, documentation, dependencies, and configuration","b65b7e60515ee86e52c0e1568061f72944d53968",18,0,0,9,7,2,true,17,0,0,0,1,0
24,"2026-08-17-18-m14-pre-release","2026-08-17","Full workspace pre-release audit — branch m14-incremental-editing","ccc9684c0ef038fdaff9c810eb5e52aef697325e",2,0,0,2,0,0,true,2,0,0,0,0,0
25,"2026-08-17-20-m14-pre-release","2026-08-17","Full pre-release repository audit at 0740b10: tracked Rust workspace source, public APIs, CLI and LSP surfaces, dependencies, configuration, and documented feature contracts; generated audit artifacts, cargo-geiger, and non-default binary-size/dynamic tools excluded.","0740b10200129334d538ca21bb30f780456f1790",8,0,0,5,3,0,true,8,0,0,0,0,0
26,"2026-08-17-21-m14-pre-release-rerun","2026-08-17","Independent full pre-release repository rerun at b5f102e: tracked Rust source, public APIs, CLI/LSP, dependencies, configuration, and documentation; prior audit artifacts, cargo-geiger, non-default binary-size tools, and dynamic tests excluded.","b5f102eaca79b81fd332b5811e60bee7cfdd16ed",13,0,4,4,5,0,true,13,0,0,0,0,0
27,"2026-08-17-23-pre-release-verify","2026-08-18","Full workspace at cc581b4 (branch m14-incremental-editing), pre-first-crates.io-publish. Seven crustoleum surfaces plus feature completeness; cargo-geiger excluded at the user's request.","cc581b4b24dac34a92d6072a90e4ac33c736b4a2",39,0,8,17,10,4,true,31,0,0,1,7,0
